iter	RMSE
0	547125.47
1	533218.8502
2	517751.8362
3	503719.4915
4	490288.0617
5	480665.3887
6	472346.6722
7	462181.053
8	453467.2831
9	444772.4446
10	435929.0235
11	425490.5064
12	418420.736
13	410198.5116
14	400800.2505
15	394539.7495
16	388362.3628
17	383018.864
18	375415.8026
19	369456.3939
20	363536.3331
21	356775.3044
22	351939.6018
23	347098.3288
24	342202.098
25	336201.9387
26	334205.0383
27	328630.8406
28	324771.0996
29	320980.8242
30	316292.3231
31	311814.6526
32	307676.7192
33	303422.5815
34	299728.3434
35	295847.2327
36	294386.7044
37	292351.9343
38	287265.3695
39	285493.7959
40	283180.4362
41	279684.7836
42	277289.8762
43	275308.3718
44	272120.8882
45	270563.7443
46	267188.7077
47	265526.9275
48	262997.7659
49	260413.6743
50	258028.2408
51	256318.1604
52	254102.8304
53	251429.2598
54	249885.7519
55	247286.9499
56	245993.2906
57	244456.9505
58	243553.8441
59	241937.7907
60	240622.0546
61	238461.2484
62	236957.3436
63	235384.9118
64	233021.5089
65	230594.6292
66	228723.0151
67	227544.6308
68	226710.8332
69	224906.2845
70	224140.3806
71	224053.48
72	221922.0129
73	220198.1903
74	218975.3748
75	217716.8928
76	216431.7848
77	215142.5865
78	214232.9852
79	213212.2386
80	211379.6084
81	209844.304
82	208224.5857
83	207035.9021
84	206350.9207
85	205318.6282
86	204628.6086
87	203607.7791
88	202665.6358
89	201438.3419
90	200186.6932
91	199522.9811
92	198374.0154
93	197329.7802
94	196606.4415
95	195331.6775
96	194342.1185
97	193193.7164
98	192758.4758
99	191660.0743
100	190289.5688
101	189504.0084
102	188300.8646
103	187507.5393
104	186915.9394
105	186042.7023
106	185307.156
107	184643.8155
108	183442.3288
109	182653.426
110	182293.3101
111	181977.0037
112	181292.2731
113	180255.5323
114	179355.0541
115	178144.9173
116	177367.3305
117	176910.0377
118	175821.8274
119	175217.6744
120	174594.4596
121	174003.4958
122	173255.308
123	172685.5008
124	172500.7439
125	172158.852
126	171349.0348
127	170586.3066
128	169949.0271
129	169349.7102
130	168934.9613
131	168295.6487
132	167279.2057
133	166762.9966
134	166326.1773
135	165681.9175
136	164328.7882
137	163668.5675
138	162889.1494
139	162088.9884
140	161495.8707
141	161100.5085
142	160457.5625
143	159936.9937
144	158899.2041
145	158063.9472
146	157289.5863
147	156751.1871
148	156473.845
149	155961.8433
150	155342.8242
151	154808.048
152	154031.3639
153	153346.0027
