iter	Passed	Remaining
0	249	99600
1	254	50664
2	260	34412
3	264	26193
4	269	21276
5	274	18034
6	278	15652
7	283	13882
8	287	12493
9	291	11382
10	296	10487
11	301	9750
12	305	9107
13	310	8559
14	315	8089
15	319	7671
16	323	7294
17	328	6965
18	333	6679
19	337	6414
20	341	6166
21	346	5957
22	350	5752
23	355	5564
24	359	5396
25	364	5244
26	366	5068
27	371	4939
28	376	4818
29	380	4698
30	386	4595
31	390	4493
32	395	4392
33	399	4302
34	403	4209
35	408	4128
36	412	4051
37	415	3955
38	419	3881
39	423	3812
40	427	3746
41	432	3686
42	436	3623
43	440	3567
44	445	3513
45	449	3459
46	454	3409
47	458	3362
48	462	3313
49	467	3271
50	471	3229
51	476	3188
52	481	3151
53	486	3115
54	490	3079
55	495	3041
56	499	3008
57	504	2972
58	508	2937
59	512	2904
60	516	2872
61	521	2841
62	523	2798
63	527	2769
64	531	2741
65	536	2712
66	540	2686
67	545	2661
68	549	2635
69	554	2612
70	558	2588
71	559	2549
72	564	2527
73	568	2504
74	572	2480
75	576	2458
76	580	2437
77	585	2415
78	589	2395
79	594	2379
80	599	2362
81	604	2344
82	609	2326
83	614	2311
84	619	2294
85	623	2276
86	628	2259
87	632	2242
88	636	2225
89	641	2210
90	646	2195
91	650	2179
92	655	2164
93	660	2149
94	664	2133
95	668	2118
96	673	2102
97	677	2087
98	682	2074
99	686	2059
100	690	2044
101	694	2030
102	699	2015
103	703	2001
104	707	1988
105	712	1975
106	717	1963
107	721	1949
108	725	1937
109	729	1924
110	734	1911
111	738	1898
112	742	1886
113	746	1873
114	751	1861
115	755	1849
116	759	1837
117	763	1825
118	768	1814
119	772	1802
120	776	1791
121	781	1779
122	785	1768
123	789	1757
124	790	1740
125	795	1729
126	800	1720
127	805	1711
128	809	1701
129	814	1691
130	819	1682
131	824	1673
132	828	1662
133	832	1653
134	837	1643
135	841	1633
136	845	1623
137	850	1613
138	854	1604
139	858	1594
140	862	1585
141	867	1575
142	871	1566
143	876	1557
144	880	1548
145	886	1541
146	890	1533
147	895	1524
148	900	1516
149	904	1507
150	908	1498
151	913	1490
152	917	1481
153	921	1472
154	926	1463
155	930	1455
156	935	1447
157	938	1437
158	942	1428
159	947	1420
160	951	1412
161	955	1403
162	959	1394
163	963	1387
164	968	1378
165	972	1370
166	976	1362
167	980	1354
168	984	1346
169	988	1338
170	993	1330
171	998	1323
172	1002	1315
173	1006	1307
174	1011	1300
175	1016	1293
176	1020	1285
177	1024	1278
178	1028	1270
179	1033	1262
180	1037	1255
181	1042	1248
182	1046	1241
183	1052	1235
184	1056	1227
185	1061	1220
186	1065	1213
187	1069	1206
188	1074	1199
189	1078	1191
190	1082	1184
191	1087	1177
192	1091	1170
193	1096	1163
194	1100	1156
195	1104	1149
196	1108	1142
197	1112	1135
198	1117	1128
199	1121	1121
200	1126	1114
201	1130	1107
202	1134	1100
203	1139	1094
204	1143	1087
205	1147	1080
206	1152	1074
207	1156	1067
208	1160	1060
209	1164	1053
210	1169	1047
211	1174	1041
212	1178	1034
213	1182	1027
214	1186	1021
215	1190	1014
216	1194	1007
217	1199	1001
218	1203	995
219	1208	988
220	1212	982
221	1217	975
222	1221	969
223	1225	962
224	1229	956
225	1233	949
226	1238	944
227	1242	937
228	1246	931
229	1250	924
230	1255	918
231	1259	911
232	1263	905
233	1267	899
234	1272	893
235	1276	887
236	1280	880
237	1285	874
238	1290	869
239	1294	862
240	1298	856
241	1303	850
242	1307	844
243	1311	838
244	1315	832
245	1320	826
246	1324	820
247	1328	814
248	1333	808
249	1337	802
250	1342	796
251	1346	790
252	1350	784
253	1354	778
254	1359	772
255	1363	766
256	1367	760
257	1371	755
258	1376	749
259	1380	743
260	1384	737
261	1388	731
262	1392	725
263	1397	719
264	1401	714
265	1405	708
266	1410	702
267	1414	696
268	1418	691
269	1423	685
270	1427	679
271	1432	674
272	1436	668
273	1440	662
274	1444	656
275	1449	651
276	1453	645
277	1458	640
278	1463	634
279	1467	628
280	1471	623
281	1475	617
282	1480	612
283	1485	606
284	1490	601
285	1494	595
286	1495	588
287	1500	583
288	1504	577
289	1508	572
290	1513	566
291	1517	561
292	1521	555
293	1526	550
294	1531	544
295	1535	539
296	1540	534
297	1544	528
298	1549	523
299	1553	517
300	1558	512
301	1562	507
302	1566	501
303	1571	496
304	1575	490
305	1579	485
306	1584	479
307	1588	474
308	1592	468
309	1596	463
310	1601	458
311	1605	452
312	1609	447
313	1613	442
314	1618	436
315	1622	431
316	1626	425
317	1631	420
318	1635	415
319	1636	409
320	1641	403
321	1645	398
322	1649	393
323	1654	388
324	1658	382
325	1663	377
326	1667	372
327	1671	366
328	1675	361
329	1680	356
330	1684	351
331	1689	346
332	1694	340
333	1698	335
334	1703	330
335	1707	325
336	1712	320
337	1716	314
338	1720	309
339	1724	304
340	1729	299
341	1734	294
342	1738	288
343	1742	283
344	1747	278
345	1751	273
346	1755	268
347	1760	263
348	1764	257
349	1765	252
350	1770	247
351	1774	241
352	1778	236
353	1783	231
354	1787	226
355	1792	221
356	1797	216
357	1801	211
358	1805	206
359	1810	201
360	1814	196
361	1818	190
362	1823	185
363	1827	180
364	1832	175
365	1836	170
366	1840	165
367	1844	160
368	1849	155
369	1853	150
370	1858	145
371	1862	140
372	1867	135
373	1871	130
374	1876	125
375	1880	120
376	1884	114
377	1889	109
378	1893	104
379	1897	99
380	1902	94
381	1906	89
382	1910	84
383	1914	79
384	1918	74
385	1923	69
386	1927	64
387	1931	59
388	1936	54
389	1940	49
390	1945	44
391	1949	39
392	1954	34
393	1959	29
394	1963	24
395	1968	19
396	1972	14
397	1976	9
398	1981	4
399	1986	0
